,fixture.id,fixture.date,league.round,league.season,home.id,score.home,away.id,score.away,winner,team.id,team.name,home.name,away.name,BP,BS,CK,Fouls,GkS,O,P%,PAc,RC,SI,SoffG,SonG,Soutb,TS,TP,YC,GA,GS,PK,TkT,TkB,TkI,DT,DW,DrA,DrS,DrP,FDr,PyW,PyC,PySc,PyM,PyS,RD,RF,RM
6754,94476,2019-04-28T00:00:00+00:00,1,2019,127,3.0,135,1.0,2.0,135,Cruzeiro,Flamengo,Cruzeiro,43.0,1.0,2.0,17.0,2.0,1.0,79.0,312.0,1.0,1.0,,1.0,1.0,2.0,393.0,6.0,1.0,2.0,2.0,11.0,9.0,16.0,94.0,41.0,11.0,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,6.4,7.2,6.45
6755,94472,2019-04-27T22:00:00+00:00,1,2019,1062,2.0,145,1.0,2.0,145,Avai,Atletico-MG,Avai,40.0,1.0,4.0,18.0,1.0,1.0,79.0,285.0,,2.0,4.0,1.0,4.0,6.0,362.0,1.0,1.0,1.0,5.0,12.0,0.0,18.0,105.0,39.0,12.0,6.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,6.3,6.65,6.5375
6756,94474,2019-04-28T19:00:00+00:00,1,2019,129,4.0,150,0.0,2.0,150,CSA,Ceara,CSA,46.0,,6.0,4.0,3.0,1.0,82.0,340.0,1.0,3.0,5.0,1.0,3.0,6.0,415.0,,0.0,3.0,5.0,7.0,3.0,3.0,94.0,58.0,18.0,15.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,6.15,6.45,6.55
6757,94477,2019-04-28T22:00:00+00:00,1,2019,124,0.0,151,1.0,0.0,151,Goias,Fluminense,Goias,29.0,,5.0,9.0,3.0,,71.0,166.0,,4.0,6.0,2.0,4.0,8.0,235.0,1.0,0.0,3.0,5.0,8.0,3.0,9.0,97.0,48.0,8.0,5.0,15.0,13.0,0.0,1.0,0.0,0.0,0.0,7.083333333333333,6.550000000000001,6.816666666666666
6758,94479,2019-04-28T22:00:00+00:00,1,2019,121,4.0,154,0.0,2.0,154,Fortaleza EC,Palmeiras,Fortaleza EC,48.0,1.0,1.0,16.0,6.0,1.0,80.0,279.0,,2.0,2.0,5.0,6.0,8.0,349.0,2.0,0.0,6.0,5.0,2.0,3.0,7.0,104.0,38.0,18.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,6.2,6.366666666666667,6.25
6759,94472,2019-04-27T22:00:00+00:00,1,2019,1062,2.0,145,1.0,2.0,1062,Atletico-MG,Atletico-MG,Avai,60.0,,4.0,12.0,,,86.0,474.0,,7.0,8.0,3.0,4.0,11.0,548.0,,1.0,0.0,8.0,12.0,1.0,14.0,105.0,66.0,20.0,12.0,6.0,17.0,1.0,0.0,1.0,0.0,0.0,6.875,8.2,6.9625
6760,94482,2019-05-02T23:00:00+00:00,2,2019,120,3.0,118,2.0,2.0,118,Bahia,Botafogo,Bahia,48.0,7.0,6.0,15.0,1.0,4.0,79.0,334.0,,13.0,8.0,4.0,6.0,19.0,421.0,,1.0,1.0,17.0,7.0,2.0,7.0,135.0,67.0,21.0,17.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,6.58,7.066666666666666,6.583333333333333
6761,94488,2019-05-01T19:00:00+00:00,2,2019,119,2.0,127,1.0,2.0,119,Internacional,Internacional,Flamengo,45.0,4.0,4.0,8.0,4.0,1.0,82.0,352.0,,9.0,6.0,7.0,8.0,17.0,427.0,3.0,2.0,4.0,15.0,12.0,3.0,10.0,109.0,51.0,19.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6.840000000000001,7.55,6.833333333333333
6762,94482,2019-05-02T23:00:00+00:00,2,2019,120,3.0,118,2.0,2.0,120,Botafogo,Botafogo,Bahia,52.0,1.0,3.0,11.0,2.0,,81.0,389.0,,6.0,3.0,5.0,3.0,9.0,482.0,3.0,3.0,2.0,8.0,11.0,7.0,8.0,135.0,68.0,21.0,16.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,6.48,6.7,7.0625
6763,94485,2019-05-01T19:00:00+00:00,2,2019,150,1.0,121,1.0,1.0,121,Palmeiras,CSA,Palmeiras,100.0,,,,,,100.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.3,6.55
